"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","LOPQ010.fasta","LOPR010.fasta"
"group_1128","","hypothetical protein","1","1","1","48","4","242","4","","158","158","158","","JLKMCBGM_01549"
"group_1129","","hypothetical protein","1","1","1","48","5","242","3","","167","167","167","","JLKMCBGM_01550"
"ynjI","","Inner membrane protein YnjI","1","1","1","87","613","40","1","","1040","1040","1040","","JLKMCBGM_01780"
"ydjH","","putative sugar kinase YdjH","1","1","1","87","601","210","1","","947","947","947","","JLKMCBGM_01790"
"ydjI","","putative protein YdjI","1","1","1","87","600","210","2","","836","836","836","","JLKMCBGM_01791"
"ydjJ","","putative zinc-type alcohol dehydrogenase-like protein YdjJ","1","1","1","87","599","210","3","","1043","1043","1043","","JLKMCBGM_01792"
"ydjE_2","","Inner membrane metabolite transport protein YdjE","1","1","1","87","598","210","4","","1379","1379","1379","","JLKMCBGM_01793"
"group_1135","","hypothetical protein","1","1","1","87","556","31","1","","209","209","209","","JLKMCBGM_01834"
"group_1136","","hypothetical protein","1","1","1","87","395","21","1","","2012","2012","2012","","JLKMCBGM_01939"
"group_1137","","hypothetical protein","1","1","1","87","445","163","1","","191","191","191","","JLKMCBGM_01948"
"group_1138","","hypothetical protein","1","1","1","87","444","163","2","","803","803","803","","JLKMCBGM_01949"
"fliF","","Flagellar M-ring protein","1","1","1","87","442","271","1","","1658","1658","1658","","JLKMCBGM_01951"
"allB_2","","Allantoinase","1","1","1","82","54","4","1","","1247","1247","1247","PHNCKJFH_04144",""
"group_1140","fliG","Flagellar motor switch protein FliG","1","1","1","87","441","271","2","","995","995","995","","JLKMCBGM_01952"
"fliH","","Flagellar assembly protein FliH","1","1","1","87","440","271","3","","686","686","686","","JLKMCBGM_01953"
"group_1142","fliI","Flagellum-specific ATP synthase","1","1","1","87","439","271","4","","1373","1373","1373","","JLKMCBGM_01954"
"fliJ","","Flagellar FliJ protein","1","1","1","87","438","271","5","","443","443","443","","JLKMCBGM_01955"
"fliK","","Flagellar hook-length control protein","1","1","1","87","437","271","6","","1127","1127","1127","","JLKMCBGM_01956"
"group_1145","","hypothetical protein","1","1","1","87","436","271","7","","464","464","464","","JLKMCBGM_01957"
"fliM","","Flagellar motor switch protein FliM","1","1","1","87","435","271","13","","1004","1004","1004","","JLKMCBGM_01958"
"fliN","","Flagellar motor switch protein FliN","1","1","1","87","434","271","12","","413","413","413","","JLKMCBGM_01959"
"fliO","","Flagellar protein FliO","1","1","1","87","433","271","11","","365","365","365","","JLKMCBGM_01960"
"fliP","","Flagellar biosynthetic protein FliP","1","1","1","87","432","271","10","","737","737","737","","JLKMCBGM_01961"
"fliQ","","Flagellar biosynthetic protein FliQ","1","1","1","87","431","271","9","","269","269","269","","JLKMCBGM_01962"
"group_1151","fliR","Flagellar biosynthetic protein FliR","1","1","1","87","430","271","8","","785","785","785","","JLKMCBGM_01963"
"group_1152","yedJ","putative protein YedJ","1","1","1","87","413","213","1","","695","695","695","","JLKMCBGM_01974"
"yedR","","Inner membrane protein YedR","1","1","1","87","414","213","4","","383","383","383","","JLKMCBGM_01975"
"group_1154","yedS","Outer membrane protein YedS","1","1","1","87","415","213","3","","1073","1073","1073","","JLKMCBGM_01976"
"group_1155","","hypothetical protein","1","1","1","87","416","213","2","","194","194","194","","JLKMCBGM_01977"
"yodB_1","","Cytochrome b561 ","1","1","1","87","405","51","1","","161","161","161","","JLKMCBGM_01985"
"prsE","","Type I secretion system membrane fusion protein PrsE","1","1","1","38","2","204","1","","1247","1247","1247","","JLKMCBGM_01998"
"apxIB","","Toxin RTX-I translocation ATP-binding protein","1","1","1","38","3","204","2","","2147","2147","2147","","JLKMCBGM_01999"
"group_1159","","hypothetical protein","1","1","1","38","4","204","3","","1268","1268","1268","","JLKMCBGM_02000"
"group_116","","hypothetical protein","1","1","1","82","26","170","1","","1475","1475","1475","PHNCKJFH_04173",""
"group_1160","","hypothetical protein","1","1","1","24","1","140","1","Investigate","1070","1070","1070","","JLKMCBGM_02002"
"group_1161","","hypothetical protein","1","1","1","83","46","166","2","","1358","1358","1358","","JLKMCBGM_02004"
"group_1162","","hypothetical protein","1","1","1","83","245","35","1","","413","413","413","","JLKMCBGM_02016"
"group_1163","","hypothetical protein","1","1","1","83","174","","","","821","821","821","","JLKMCBGM_02018"
"fucP_2","","L-fucose-proton symporter","1","1","1","64","1","291","21","","440","440","440","","JLKMCBGM_02019"
"group_1165","","hypothetical protein","1","1","1","64","2","291","22","","1013","1013","1013","","JLKMCBGM_02020"
"group_1166","","hypothetical protein","1","1","1","64","3","291","23","","284","284","284","","JLKMCBGM_02021"
"ulaA_2","","Ascorbate-specific PTS system EIIC component","1","1","1","64","4","291","24","","1256","1256","1256","","JLKMCBGM_02022"
"ulaB_2","","Ascorbate-specific PTS system EIIB component","1","1","1","64","5","291","25","","287","287","287","","JLKMCBGM_02023"
"ulaC_2","","Ascorbate-specific PTS system EIIA component","1","1","1","64","6","291","26","","443","443","443","","JLKMCBGM_02024"
"gntR_1","","HTH-type transcriptional regulator GntR","1","1","1","64","7","291","27","","1031","1031","1031","","JLKMCBGM_02025"
"fabF_1","","3-oxoacyl-[acyl-carrier-protein] synthase 2","1","1","1","64","8","291","28","","1229","1229","1229","","JLKMCBGM_02026"
"group_1172","fabG_1","3-oxoacyl-[acyl-carrier-protein] reductase FabG","1","1","1","64","9","291","29","","731","731","731","","JLKMCBGM_02027"
"group_1173","","hypothetical protein","1","1","1","64","10","291","30","","464","464","464","","JLKMCBGM_02028"
"fabF_2","","3-oxoacyl-[acyl-carrier-protein] synthase 2","1","1","1","64","11","291","31","","1169","1169","1169","","JLKMCBGM_02029"
"group_1175","","hypothetical protein","1","1","1","64","12","291","20","","584","584","584","","JLKMCBGM_02030"
"group_1176","","hypothetical protein","1","1","1","64","13","291","19","","2318","2318","2318","","JLKMCBGM_02031"
"lolA_1","","Outer-membrane lipoprotein carrier protein","1","1","1","64","14","291","18","","605","605","605","","JLKMCBGM_02032"
"group_1178","","1,4-dihydroxy-2-naphthoyl-CoA hydrolase","1","1","1","64","15","291","17","","422","422","422","","JLKMCBGM_02033"
"group_1179","","hypothetical protein","1","1","1","64","16","291","16","","1676","1676","1676","","JLKMCBGM_02034"
"group_118","","hypothetical protein","1","1","1","87","39","9","1","","443","443","443","PHNCKJFH_04220",""
"group_1180","","hypothetical protein","1","1","1","64","17","291","15","","353","353","353","","JLKMCBGM_02035"
"group_1181","","hypothetical protein","1","1","1","64","18","291","14","","1358","1358","1358","","JLKMCBGM_02036"
"group_1182","","hypothetical protein","1","1","1","64","19","291","13","","581","581","581","","JLKMCBGM_02037"
"group_1183","acpP_1","Acyl carrier protein","1","1","1","64","31","291","12","","251","251","251","","JLKMCBGM_02038"
"group_1184","","hypothetical protein","1","1","1","64","30","291","11","","257","257","257","","JLKMCBGM_02039"
"group_1185","","hypothetical protein","1","1","1","64","29","291","10","","839","839","839","","JLKMCBGM_02040"
"group_1186","","hypothetical protein","1","1","1","64","28","291","9","","722","722","722","","JLKMCBGM_02041"
"sfmM2","","L-tyrosine C(3)-methyltransferase","1","1","1","64","27","291","8","","1058","1058","1058","","JLKMCBGM_02042"
"group_1188","","hypothetical protein","1","1","1","64","26","291","7","","389","389","389","","JLKMCBGM_02043"
"shlB","","Hemolysin transporter protein ShlB","1","1","1","64","25","291","6","","1607","1607","1607","","JLKMCBGM_02044"
"group_119","","hypothetical protein","1","1","1","87","38","36","1","","707","707","707","","JLKMCBGM_01192"
"cdiA","","tRNA nuclease CdiA","1","1","1","64","24","291","5","","9989","9989","9989","","JLKMCBGM_02045"
"cdiI4","","Immunity protein CdiI-o11","1","1","1","64","23","291","4","","503","503","503","","JLKMCBGM_02046"
"group_1192","","IS3 family transposase ISEc25","1","1","1","64","22","291","3","","326","326","326","","JLKMCBGM_02047"
"group_1193","lpxG","UDP-2,3-diacylglucosamine pyrophosphatase LpxG","1","1","1","81","46","66","1","","812","812","812","","JLKMCBGM_02141"
"group_1194","yadN","putative fimbrial-like protein YadN","1","1","1","81","69","244","2","","584","584","584","","JLKMCBGM_02164"
"yadV_2","","putative fimbrial chaperone YadV","1","1","1","81","70","244","3","","740","740","740","","JLKMCBGM_02165"
"htrE","","Outer membrane usher protein HtrE","1","1","1","81","71","244","4","","2597","2597","2597","","JLKMCBGM_02166"
"yadM","","putative fimbrial-like protein YadM","1","1","1","81","72","244","5","","569","569","569","","JLKMCBGM_02167"
"group_1198","yadL","putative fimbrial-like protein YadL","1","1","1","81","73","244","6","","605","605","605","","JLKMCBGM_02168"
"group_1199","yadK","putative fimbrial-like protein YadK","1","1","1","81","74","244","7","","596","596","596","","JLKMCBGM_02169"
"vgrG1_2","","Actin cross-linking toxin VgrG1","1","1","1","82","10","229","1","","506","506","506","PHNCKJFH_02348",""
"yadC","","putative fimbrial-like protein YadC","1","1","1","81","75","244","1","","1238","1238","1238","","JLKMCBGM_02170"
"group_1201","","hypothetical protein","1","1","1","81","149","18","1","","821","821","821","","JLKMCBGM_02245"
"group_1202","","hypothetical protein","1","1","1","81","159","102","1","","218","218","218","","JLKMCBGM_02268"
"group_1203","","hypothetical protein","1","1","1","81","164","38","1","","1421","1421","1421","","JLKMCBGM_02279"
"group_1204","","hypothetical protein","1","1","1","82","196","119","1","","2822","2822","2822","","JLKMCBGM_02289"
"group_1205","","hypothetical protein","1","1","1","85","46","203","2","","368","368","368","","JLKMCBGM_02412"
"group_1206","","hypothetical protein","1","1","1","85","47","203","4","","134","134","134","","JLKMCBGM_02413"
"group_1207","","hypothetical protein","1","1","1","85","48","203","3","","320","320","320","","JLKMCBGM_02414"
"group_1208","","hypothetical protein","1","1","1","85","44","262","3","","1139","1139","1139","","JLKMCBGM_02416"
"etp_1","","Low molecular weight protein-tyrosine-phosphatase Etp","1","1","1","85","43","262","4","","434","434","434","","JLKMCBGM_02417"
"group_121","","hypothetical protein","1","1","1","60","1","274","1","","293","293","293","","JLKMCBGM_00383"
"group_1210","","Putative tyrosine-protein kinase in cps region","1","1","1","85","42","262","5","","2165","2165","2165","","JLKMCBGM_02418"
"group_1211","","hypothetical protein","1","1","1","85","41","262","6","","917","917","917","","JLKMCBGM_02419"
"wcaJ","","UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase","1","1","1","85","40","262","7","","1394","1394","1394","","JLKMCBGM_02420"
"glgA_1","","Glycogen synthase","1","1","1","85","39","262","8","","1199","1199","1199","","JLKMCBGM_02421"
"dapH","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","1","1","1","85","38","262","9","","674","674","674","","JLKMCBGM_02422"
"group_1215","","hypothetical protein","1","1","1","85","37","262","10","","1277","1277","1277","","JLKMCBGM_02423"
"group_1216","","hypothetical protein","1","1","1","85","36","262","11","","1118","1118","1118","","JLKMCBGM_02424"
"group_1217","","hypothetical protein","1","1","1","85","35","262","2","","1259","1259","1259","","JLKMCBGM_02425"
"group_1218","","hypothetical protein","1","1","1","85","34","262","1","","1277","1277","1277","","JLKMCBGM_02426"
"rffG_1","","dTDP-glucose 4,6-dehydratase 2","1","1","1","85","32","230","1","","1064","1064","1064","","JLKMCBGM_02428"
"group_122","","hypothetical protein","1","1","1","80","171","192","3","","347","347","347","","JLKMCBGM_01057"
"rffH_1","","Glucose-1-phosphate thymidylyltransferase 2","1","1","1","85","31","230","2","","869","869","869","","JLKMCBGM_02429"
"rfbD","","dTDP-4-dehydrorhamnose reductase","1","1","1","85","30","230","5","","890","890","890","","JLKMCBGM_02430"
"rfbC","","dTDP-4-dehydrorhamnose 3,5-epimerase","1","1","1","85","29","230","4","","554","554","554","","JLKMCBGM_02431"
"ugd","","UDP-glucose 6-dehydrogenase","1","1","1","85","28","230","3","","1166","1166","1166","","JLKMCBGM_02432"
"yncE_1","","putative protein YncE","1","1","1","69","22","258","8","","1175","1175","1175","","JLKMCBGM_02435"
"group_1225","","putative TonB-dependent receptor","1","1","1","69","21","258","9","","2261","2261","2261","","JLKMCBGM_02436"
"group_1226","","hypothetical protein","1","1","1","69","20","258","10","","776","776","776","","JLKMCBGM_02437"
"group_1227","","hypothetical protein","1","1","1","69","19","258","7","","875","875","875","","JLKMCBGM_02438"
"group_1228","","hypothetical protein","1","1","1","69","18","258","6","","137","137","137","","JLKMCBGM_02439"
"group_1229","","hypothetical protein","1","1","1","69","17","258","5","","566","566","566","","JLKMCBGM_02440"
"group_123","","hypothetical protein","1","1","1","26","2","201","3","","347","347","347","","JLKMCBGM_03208"
"group_1230","","hypothetical protein","1","1","1","69","16","258","4","","335","335","335","","JLKMCBGM_02441"
"group_1231","","hypothetical protein","1","1","1","69","15","258","3","","347","347","347","","JLKMCBGM_02442"
"group_1232","","hypothetical protein","1","1","1","69","14","258","2","","554","554","554","","JLKMCBGM_02443"
"group_1233","","hypothetical protein","1","1","1","69","13","258","1","","260","260","260","","JLKMCBGM_02444"
"iscR_1","","HTH-type transcriptional regulator IscR","1","1","1","67","1","296","6","","446","446","446","","JLKMCBGM_02445"
"dfrD","","Dihydrofolate reductase","1","1","1","67","2","296","7","","512","512","512","","JLKMCBGM_02446"
"glmM_2","","Phosphoglucosamine mutase","1","1","1","67","3","296","8","","281","281","281","","JLKMCBGM_02447"
"folP_2","","Dihydropteroate synthase","1","1","1","67","4","296","9","","815","815","815","","JLKMCBGM_02448"
"group_1238","","hypothetical protein","1","1","1","67","5","296","10","","566","566","566","","JLKMCBGM_02449"
"group_1239","","hypothetical protein","1","1","1","67","6","296","11","","191","191","191","","JLKMCBGM_02450"
"group_124","","IS66 family transposase ISEc22","1","1","1","60","2","274","2","","257","257","257","","JLKMCBGM_00384"
"group_1240","","hypothetical protein","1","1","1","67","7","296","12","","752","752","752","","JLKMCBGM_02451"
"group_1241","","hypothetical protein","1","1","1","67","8","296","13","","236","236","236","","JLKMCBGM_02452"
"group_1242","","hypothetical protein","1","1","1","67","9","296","14","","572","572","572","","JLKMCBGM_02453"
"group_1243","","hypothetical protein","1","1","1","67","10","296","15","","731","731","731","","JLKMCBGM_02454"
"group_1244","","hypothetical protein","1","1","1","67","11","296","16","","1130","1130","1130","","JLKMCBGM_02455"
"group_1245","","hypothetical protein","1","1","1","67","13","296","18","","677","677","677","","JLKMCBGM_02457"
"group_1246","","hypothetical protein","1","1","1","67","14","296","19","","233","233","233","","JLKMCBGM_02458"
"group_1247","","hypothetical protein","1","1","1","67","15","296","20","","818","818","818","","JLKMCBGM_02459"
"group_1248","","hypothetical protein","1","1","1","67","18","296","23","","221","221","221","","JLKMCBGM_02462"
"cbeA_2","","Cytoskeleton bundling-enhancing antitoxin CbeA","1","1","1","67","19","296","24","","374","374","374","","JLKMCBGM_02463"
"group_125","","IS66 family transposase ISEc22","1","1","1","80","170","192","1","","1535","1535","1535","","JLKMCBGM_01058"
"group_1250","","hypothetical protein","1","1","1","67","21","296","26","","488","488","488","","JLKMCBGM_02465"
"group_1251","","hypothetical protein","1","1","1","67","22","296","27","","197","197","197","","JLKMCBGM_02466"
"group_1252","","hypothetical protein","1","1","1","67","23","296","28","","866","866","866","","JLKMCBGM_02467"
"group_1253","","hypothetical protein","1","1","1","67","24","296","29","","263","263","263","","JLKMCBGM_02468"
"group_1254","","hypothetical protein","1","1","1","67","25","296","30","","326","326","326","","JLKMCBGM_02469"
"group_1255","","hypothetical protein","1","1","1","67","27","296","32","","1043","1043","1043","","JLKMCBGM_02471"
"opgE_1","","Phosphoethanolamine transferase OpgE","1","1","1","67","28","296","33","","1502","1502","1502","","JLKMCBGM_02472"
"pagN_1","","Outer membrane protein PagN","1","1","1","67","29","296","34","","740","740","740","","JLKMCBGM_02473"
"group_1258","","hypothetical protein","1","1","1","67","30","296","35","","368","368","368","","JLKMCBGM_02474"
"group_1259","","hypothetical protein","1","1","1","67","31","296","36","","1589","1589","1589","","JLKMCBGM_02475"
"group_126","","IS66 family transposase ISEc22","1","1","1","60","5","274","5","","431","431","431","","JLKMCBGM_00387"
"group_1260","","hypothetical protein","1","1","1","67","32","296","37","","1118","1118","1118","","JLKMCBGM_02476"
"group_1261","","hypothetical protein","1","1","1","67","40","296","38","","1634","1634","1634","","JLKMCBGM_02477"
"group_1262","","hypothetical protein","1","1","1","67","39","296","39","","3413","3413","3413","","JLKMCBGM_02478"
"group_1263","","hypothetical protein","1","1","1","67","37","296","5","","263","263","263","","JLKMCBGM_02480"
"group_1264","","hypothetical protein","1","1","1","67","36","296","4","","278","278","278","","JLKMCBGM_02481"
"group_1265","","hypothetical protein","1","1","1","67","35","296","3","","1082","1082","1082","","JLKMCBGM_02482"
"group_1266","","hypothetical protein","1","1","1","67","34","296","2","","944","944","944","","JLKMCBGM_02483"
"thyA_1","","Thymidylate synthase","1","1","1","67","33","296","1","","980","980","980","","JLKMCBGM_02484"
"group_1268","","Glycine betaine transporter","1","1","1","32","1","199","1","","1997","1997","1997","","JLKMCBGM_02485"
"group_1269","","hypothetical protein","1","1","1","32","2","199","2","","158","158","158","","JLKMCBGM_02486"
"group_127","","IS21 family transposase IS100kyp","1","1","1","60","4","274","4","","779","779","779","","JLKMCBGM_00386"
"group_1270","","hypothetical protein","1","1","1","32","3","199","3","","1277","1277","1277","","JLKMCBGM_02487"
"group_1271","","hypothetical protein","1","1","1","86","2","285","18","","515","515","515","","JLKMCBGM_02529"
"group_1272","","hypothetical protein","1","1","1","86","3","285","17","","131","131","131","","JLKMCBGM_02530"
"scrK_2","","Fructokinase","1","1","1","86","4","285","16","","920","920","920","","JLKMCBGM_02531"
"scrY","","Sucrose porin","1","1","1","86","5","285","15","","1517","1517","1517","","JLKMCBGM_02532"
"sacX","","Negative regulator of SacY activity","1","1","1","86","6","285","14","","1370","1370","1370","","JLKMCBGM_02533"
"scrB","","Sucrose-6-phosphate hydrolase","1","1","1","86","7","285","13","","1403","1403","1403","","JLKMCBGM_02534"
"cra_2","","Catabolite repressor/activator","1","1","1","86","8","285","12","","1007","1007","1007","","JLKMCBGM_02535"
"hns_2","","DNA-binding protein H-NS","1","1","1","86","9","285","11","","473","473","473","","JLKMCBGM_02536"
"pagN_2","","Outer membrane protein PagN","1","1","1","86","10","285","10","","737","737","737","","JLKMCBGM_02537"
"group_128","","IS21 family transposase IS100kyp","1","1","1","29","1","195","3","","293","293","293","","JLKMCBGM_04290"
"group_1280","","hypothetical protein","1","1","1","86","11","285","9","","896","896","896","","JLKMCBGM_02538"
"group_1281","","hypothetical protein","1","1","1","86","12","285","8","","1079","1079","1079","","JLKMCBGM_02539"
"group_1282","","hypothetical protein","1","1","1","86","13","285","7","","1571","1571","1571","","JLKMCBGM_02540"
"group_1283","","hypothetical protein","1","1","1","86","14","285","6","","266","266","266","","JLKMCBGM_02541"
"group_1284","","hypothetical protein","1","1","1","86","15","285","5","","197","197","197","","JLKMCBGM_02542"
"group_1285","","hypothetical protein","1","1","1","86","16","285","4","","1130","1130","1130","","JLKMCBGM_02543"
"yhbX_2","","Putative transferase YhbX","1","1","1","86","17","285","3","","455","455","455","","JLKMCBGM_02544"
"group_1287","","hypothetical protein","1","1","1","86","18","285","2","","1043","1043","1043","","JLKMCBGM_02545"
"intS_4","","Prophage integrase IntS","1","1","1","86","19","285","1","","1190","1190","1190","","JLKMCBGM_02546"
"ygfF","","putative oxidoreductase YgfF","1","1","1","86","1","85","1","","743","743","743","","JLKMCBGM_02608"
"group_129","","hypothetical protein","1","1","1","84","155","287","15","","839","839","839","","JLKMCBGM_00688"
"xerC_3","","Tyrosine recombinase XerC","1","1","1","86","672","239","1","","1589","1589","1589","","JLKMCBGM_02647"
"group_1291","","hypothetical protein","1","1","1","86","673","239","2","","632","632","632","","JLKMCBGM_02648"
"group_1292","","hypothetical protein","1","1","1","86","674","239","3","","491","491","491","","JLKMCBGM_02649"
"group_1293","","hypothetical protein","1","1","1","86","675","239","4","","230","230","230","","JLKMCBGM_02650"
"group_1294","","hypothetical protein","1","1","1","86","676","239","6","","410","410","410","","JLKMCBGM_02651"
"group_1295","","hypothetical protein","1","1","1","86","677","239","5","","1127","1127","1127","","JLKMCBGM_02652"
"group_1296","","hypothetical protein","1","1","1","85","473","298","21","","275","275","275","","JLKMCBGM_02830"
"group_1297","","hypothetical protein","1","1","1","85","472","298","22","","629","629","629","","JLKMCBGM_02831"
"group_1298","","hypothetical protein","1","1","1","85","471","298","23","","308","308","308","","JLKMCBGM_02832"
"group_1299","","hypothetical protein","1","1","1","85","470","298","24","","404","404","404","","JLKMCBGM_02833"
"group_13","","hypothetical protein","1","1","1","84","255","282","2","","2141","2141","2141","","JLKMCBGM_00654"
"group_130","","hypothetical protein","1","1","1","75","4","261","1","","206","206","206","","JLKMCBGM_00562"
"group_1300","","hypothetical protein","1","1","1","85","469","298","25","","2162","2162","2162","","JLKMCBGM_02834"
"group_1301","","hypothetical protein","1","1","1","85","468","298","26","","257","257","257","","JLKMCBGM_02835"
"group_1302","","hypothetical protein","1","1","1","85","467","298","27","","728","728","728","","JLKMCBGM_02836"
"group_1303","","hypothetical protein","1","1","1","85","466","298","28","","710","710","710","","JLKMCBGM_02837"
"group_1304","","hypothetical protein","1","1","1","85","465","298","29","","539","539","539","","JLKMCBGM_02838"
"group_1305","","hypothetical protein","1","1","1","85","464","298","30","","161","161","161","","JLKMCBGM_02839"
"group_1306","","hypothetical protein","1","1","1","85","463","298","31","","296","296","296","","JLKMCBGM_02840"
"group_1307","","hypothetical protein","1","1","1","85","462","298","32","","2474","2474","2474","","JLKMCBGM_02841"
"group_1308","","hypothetical protein","1","1","1","85","461","298","33","","1802","1802","1802","","JLKMCBGM_02842"
"group_1309","","hypothetical protein","1","1","1","85","460","298","34","","2513","2513","2513","","JLKMCBGM_02843"
"group_131","","hypothetical protein","1","1","1","83","176","142","1","","206","206","206","","JLKMCBGM_01243"
"group_1310","","hypothetical protein","1","1","1","85","459","298","35","","545","545","545","","JLKMCBGM_02844"
"group_1311","","hypothetical protein","1","1","1","85","458","298","36","","464","464","464","","JLKMCBGM_02845"
"group_1312","","hypothetical protein","1","1","1","85","457","298","37","","2465","2465","2465","","JLKMCBGM_02846"
"group_1313","","hypothetical protein","1","1","1","85","456","298","38","","605","605","605","","JLKMCBGM_02847"
"group_1314","","hypothetical protein","1","1","1","85","455","298","39","","323","323","323","","JLKMCBGM_02848"
"group_1315","","hypothetical protein","1","1","1","85","454","298","40","","335","335","335","","JLKMCBGM_02849"
"group_1316","","hypothetical protein","1","1","1","85","453","298","41","","437","437","437","","JLKMCBGM_02850"
"group_1317","","hypothetical protein","1","1","1","85","452","298","42","","986","986","986","","JLKMCBGM_02851"
"group_1318","","hypothetical protein","1","1","1","85","451","298","43","","695","695","695","","JLKMCBGM_02852"
"group_1319","","hypothetical protein","1","1","1","85","450","298","44","","296","296","296","","JLKMCBGM_02853"
"group_132","","hypothetical protein","1","1","1","47","5","237","1","","206","206","206","","JLKMCBGM_01426"
"group_1320","","hypothetical protein","1","1","1","85","449","298","45","","1679","1679","1679","","JLKMCBGM_02854"
"group_1321","","hypothetical protein","1","1","1","85","448","298","46","","206","206","206","","JLKMCBGM_02855"
"group_1322","","hypothetical protein","1","1","1","85","342","298","47","","356","356","356","","JLKMCBGM_02857"
"group_1323","","hypothetical protein","1","1","1","85","343","298","48","","1475","1475","1475","","JLKMCBGM_02858"
"group_1324","","hypothetical protein","1","1","1","85","344","298","49","","674","674","674","","JLKMCBGM_02859"
"group_1325","","hypothetical protein","1","1","1","85","345","298","50","","212","212","212","","JLKMCBGM_02860"
"group_1326","","hypothetical protein","1","1","1","85","346","298","51","","338","338","338","","JLKMCBGM_02861"
"group_1327","","hypothetical protein","1","1","1","85","347","298","20","","350","350","350","","JLKMCBGM_02862"
"group_1328","","hypothetical protein","1","1","1","85","348","298","19","","434","434","434","","JLKMCBGM_02863"
"group_1329","","hypothetical protein","1","1","1","85","349","298","18","","590","590","590","","JLKMCBGM_02864"
"era_1","","GTPase Era","1","1","1","75","1","273","1","","872","872","872","","JLKMCBGM_00584"
"group_1330","","hypothetical protein","1","1","1","85","350","298","17","","521","521","521","","JLKMCBGM_02865"
"group_1331","","hypothetical protein","1","1","1","85","351","298","16","","347","347","347","","JLKMCBGM_02866"
"group_1332","","hypothetical protein","1","1","1","85","352","298","15","","785","785","785","","JLKMCBGM_02867"
"dnaT_1","","Primosomal protein 1","1","1","1","85","353","298","14","","815","815","815","","JLKMCBGM_02868"
"group_1334","","hypothetical protein","1","1","1","85","354","298","13","","200","200","200","","JLKMCBGM_02869"
"group_1335","","hypothetical protein","1","1","1","85","355","298","12","","230","230","230","","JLKMCBGM_02870"
"group_1336","","hypothetical protein","1","1","1","85","356","298","11","","584","584","584","","JLKMCBGM_02871"
"group_1337","","hypothetical protein","1","1","1","85","357","298","10","","152","152","152","","JLKMCBGM_02872"
"group_1338","","hypothetical protein","1","1","1","85","358","298","9","","299","299","299","","JLKMCBGM_02873"
"recE","","Exodeoxyribonuclease 8","1","1","1","85","359","298","8","","821","821","821","","JLKMCBGM_02874"
"era_2","","GTPase Era","1","1","1","46","5","225","5","","872","872","872","","JLKMCBGM_01248"
"group_1340","","hypothetical protein","1","1","1","85","360","298","7","","917","917","917","","JLKMCBGM_02875"
"group_1341","","hypothetical protein","1","1","1","85","361","298","6","","248","248","248","","JLKMCBGM_02876"
"group_1342","","hypothetical protein","1","1","1","85","362","298","5","","251","251","251","","JLKMCBGM_02877"
"group_1343","","hypothetical protein","1","1","1","85","363","298","4","","218","218","218","","JLKMCBGM_02878"
"group_1344","","hypothetical protein","1","1","1","85","364","298","3","","419","419","419","","JLKMCBGM_02879"
"group_1345","","hypothetical protein","1","1","1","85","365","298","2","","194","194","194","","JLKMCBGM_02880"
"intA_3","","Prophage integrase IntA","1","1","1","85","366","298","1","","1250","1250","1250","","JLKMCBGM_02881"
"group_1347","","hypothetical protein","1","1","1","35","1","196","1","","647","647","647","","JLKMCBGM_02963"
"group_1348","","hypothetical protein","1","1","1","35","2","196","2","","347","347","347","","JLKMCBGM_02964"
"group_1349","","hypothetical protein","1","1","1","68","20","297","1","","1169","1169","1169","","JLKMCBGM_02966"
"era_4","","GTPase Era","1","1","1","39","2","216","3","","872","872","872","","JLKMCBGM_03028"
"group_1350","","hypothetical protein","1","1","1","68","21","297","2","","290","290","290","","JLKMCBGM_02967"
"group_1351","","hypothetical protein","1","1","1","68","22","297","3","","320","320","320","","JLKMCBGM_02968"
"group_1352","","hypothetical protein","1","1","1","68","23","297","4","","821","821","821","","JLKMCBGM_02969"
"group_1353","","hypothetical protein","1","1","1","68","24","297","5","","1202","1202","1202","","JLKMCBGM_02970"
"group_1354","","hypothetical protein","1","1","1","68","25","297","6","","170","170","170","","JLKMCBGM_02971"
"group_1355","","hypothetical protein","1","1","1","68","26","297","7","","452","452","452","","JLKMCBGM_02972"
"group_1356","","hypothetical protein","1","1","1","68","27","297","8","","836","836","836","","JLKMCBGM_02973"
"yggR_2","","putative protein YggR","1","1","1","68","28","297","9","","1148","1148","1148","","JLKMCBGM_02974"
"group_1358","","hypothetical protein","1","1","1","68","29","297","10","","290","290","290","","JLKMCBGM_02975"
"group_1359","","hypothetical protein","1","1","1","68","30","297","11","","4016","4016","4016","","JLKMCBGM_02976"
"group_1360","","hypothetical protein","1","1","1","68","31","297","12","","350","350","350","","JLKMCBGM_02977"
"group_1361","","hypothetical protein","1","1","1","68","32","297","13","","695","695","695","","JLKMCBGM_02978"
"group_1362","","hypothetical protein","1","1","1","68","33","297","14","","974","974","974","","JLKMCBGM_02979"
"group_1363","","hypothetical protein","1","1","1","68","34","297","15","","1331","1331","1331","","JLKMCBGM_02980"
